지역,주유소 수,위도,경도
강원 강릉시,85,37.7525313,128.8759523
강원 고성군,18,38.3808,128.4678
강원 동해시,34,37.5245142,129.1146302
강원 삼척시,32,37.4498745,129.1652969
강원 속초시,22,38.2069574,128.5913424
강원 양구군,10,38.1098,127.9901
강원 양양군,19,38.0751,128.6191
강원 영월군,25,37.1834983,128.4619814
강원 원주시,110,37.3420996,127.9197603
강원 인제군,27,38.0694,128.1706
강원 정선군,26,37.3806081,128.6608785
강원 철원군,22,38.1468,127.3133
강원 춘천시,79,37.8810569,127.7297641
강원 태백시,18,37.1637943,128.9857176
강원 평창군,37,37.3705,128.3903
강원 홍천군,49,37.6967,127.8888
강원 화천군,15,38.1063,127.708
강원 횡성군,31,37.4916,127.985
경기 가평군,43,37.8314,127.5098
경기 고양시,140,37.6581862,126.8319452
경기 과천시,4,37.4289037,126.9881655
경기 광명시,32,37.4810539,126.8631275
경기 광주시,81,37.4290844,127.255189
경기 구리시,21,37.5941315,127.1297917
경기 군포시,15,37.3615229,126.9349025
경기 김포시,87,37.615461,126.7157891
경기 남양주시,106,37.6359398,127.2165051
경기 동두천시,23,37.9030856,127.0605175
경기 부천시,58,37.5014422,126.7660139
경기 성남시,58,37.4201556,127.1262092
경기 수원시,103,37.2633325,127.0287472
경기 시흥시,89,37.3798891,126.8032255
경기 안산시,71,37.3217152,126.8308604
경기 안성시,105,36.975146699999996,127.21332431432484
경기 안양시,40,37.3938528,126.9570605
경기 양주시,89,37.7849312,127.0457771
경기 양평군,62,37.4916,127.4875
경기 여주시,81,37.28690725,127.64412884396796
경기 연천군,21,38.0964,127.0746
경기 오산시,35,37.1499376,127.0774625
경기 용인시,195,37.2405741,127.1785572
경기 의왕시,25,37.3449082,126.9689861
경기 의정부시,40,37.7381078,127.033929
경기 이천시,107,37.2808823,127.4429132
경기 파주시,117,37.7598955,126.7801502
경기 평택시,136,36.9924966,127.1127168
경기 포천시,108,37.89361905,127.20445991493214
경기 하남시,32,37.5392918,127.214948
경기 화성시,232,37.1994653,126.8312632
경남 거제시,54,34.8804677,128.621207
경남 거창군,34,35.6872871,127.9138505
