날짜,Dubai,Brent,WTI,평균,평균-30
2010-01-03,78.27,80.12,81.51,79.97,
2010-01-04,79.83,80.59,81.77,80.73,
2010-01-05,79.92,81.89,83.18,81.66,
2010-01-06,80.76,81.51,82.66,81.64,
2010-01-07,80.34,81.37,82.75,81.49,
2010-01-10,81.35,80.97,82.52,81.61,
2010-01-11,80.04,79.3,80.79,80.04,
2010-01-12,77.94,78.31,79.65,78.63,
2010-01-13,78.45,77.82,79.39,78.55,
2010-01-14,77.55,77.11,78.0,77.55,
2010-01-17,76.45,77.1,,76.78,
2010-01-18,76.17,77.63,79.02,77.61,
2010-01-19,76.5,76.32,77.62,76.81,
2010-01-20,75.96,74.58,76.08,75.54,
2010-01-21,74.45,72.83,74.54,73.94,
2010-01-24,72.32,73.69,75.26,73.76,
2010-01-25,72.34,73.29,74.71,73.45,
2010-01-26,72.38,72.24,73.67,72.76,
2010-01-27,72.3,72.13,73.64,72.69,
2010-01-28,71.59,71.46,72.89,71.98,
2010-01-31,71.28,73.11,74.43,72.94,
2010-02-01,72.91,76.06,77.23,75.4,
2010-02-02,76.0,75.92,76.98,76.3,
2010-02-03,74.78,72.13,73.14,73.35,
2010-02-04,70.62,69.59,71.19,70.47,
2010-02-07,69.46,70.11,71.89,70.49,
2010-02-08,70.06,72.13,73.75,71.98,
2010-02-09,71.39,72.54,74.52,72.82,
2010-02-10,72.31,73.05,75.28,73.55,
2010-02-11,72.81,72.9,74.13,73.28,
2010-02-14,,72.51,,72.51,-0.093285
2010-02-15,,75.68,77.01,76.34,-0.054379
2010-02-16,75.07,76.27,77.33,76.22,-0.066618
2010-02-17,74.03,77.78,79.06,76.96,-0.057325
2010-02-18,74.99,78.19,79.81,77.66,-0.047
2010-02-21,76.65,78.61,80.16,78.47,-0.038476
2010-02-22,76.66,77.25,78.86,77.59,-0.03061
2010-02-23,75.41,78.09,80.0,77.83,-0.010174
2010-02-24,76.0,76.29,78.17,76.82,-0.022024
2010-02-25,74.29,77.59,79.66,77.18,-0.004771
2010-02-28,76.5,76.89,78.7,77.36,0.007554
2010-03-01,75.16,78.18,79.68,77.67,0.000773
2010-03-02,76.09,79.25,80.87,78.74,0.025127
2010-03-03,76.6,78.54,80.21,78.45,0.038523
2010-03-04,77.05,79.89,81.5,79.48,0.074926
2010-03-07,78.18,80.47,81.87,80.17,0.086903
2010-03-08,77.65,79.91,81.49,79.68,0.08482
2010-03-09,77.52,80.48,82.09,80.03,0.099918
2010-03-10,77.87,80.28,82.11,80.09,0.101802
2010-03-11,78.31,79.39,81.24,79.65,0.106557
2010-03-14,77.35,77.89,79.8,78.35,0.074171
2010-03-15,75.81,79.02,81.7,78.84,0.045623
2010-03-16,77.95,81.96,82.93,80.95,0.060944
2010-03-17,77.67,81.48,82.2,80.45,0.096796
2010-03-18,78.09,79.88,80.68,79.55,0.128849
2010-03-21,76.65,80.54,81.25,79.48,0.127536
2010-03-22,77.47,80.7,81.91,80.03,0.111837
2010-03-23,77.45,79.62,80.61,79.23,0.088025
2010-03-24,77.27,79.61,80.53,79.14,0.076003
2010-03-25,77.67,79.29,80.0,78.99,0.07792
2010-03-28,77.35,81.17,82.17,80.23,0.106468
2010-03-29,78.56,81.28,82.37,80.74,0.057637
2010-03-30,78.71,82.7,83.76,81.72,0.07216
2010-03-31,80.14,84.01,84.87,83.01,0.078612
2010-04-04,82.3,85.88,86.62,84.93,0.093613
2010-04-05,83.2,86.15,86.84,85.4,0.088314
2010-04-06,83.63,85.59,85.88,85.03,0.095889
2010-04-07,83.55,84.81,85.39,84.58,0.086727
2010-04-08,83.7,84.83,84.92,84.48,0.099714
2010-04-11,83.57,84.77,84.34,84.23,0.091345
2010-04-12,82.98,84.72,84.05,83.92,0.084798
2010-04-13,83.48,86.15,85.84,85.16,0.096434
2010-04-14,84.41,87.17,85.51,85.7,0.088392
2010-04-15,84.86,85.99,83.24,84.7,0.079669
2010-04-18,82.47,84.23,81.45,82.72,0.040765
2010-04-19,83.16,84.8,83.45,83.8,0.045279
2010-04-20,83.46,85.7,83.68,84.28,0.057731
2010-04-21,84.06,85.67,83.7,84.48,0.055604
2010-04-22,83.74,87.25,85.12,85.37,0.065926
2010-04-25,85.4,86.83,84.2,85.48,0.073195
2010-04-26,84.67,85.78,82.44,84.3,0.075941
2010-04-27,83.38,86.16,83.22,84.25,0.06862
2010-04-28,84.6,86.9,85.17,85.56,0.056949
2010-04-29,85.78,87.44,86.15,86.46,0.074705
2010-05-02,86.13,88.94,86.19,87.09,0.094783
2010-05-03,87.4,85.67,82.74,85.27,0.072849
2010-05-04,83.98,82.61,79.97,82.19,0.02699
2010-05-05,81.38,79.83,77.11,79.44,0.002651
2010-05-06,79.24,78.27,75.11,77.54,-0.020217
2010-05-09,80.76,80.12,76.8,79.23,0.003038
2010-05-10,79.28,80.49,76.37,78.71,-0.018946
2010-05-11,80.97,81.2,75.65,79.27,-0.018207
2010-05-12,81.35,80.11,74.4,78.62,-0.037934
2010-05-13,79.23,77.18,71.61,76.01,-0.084327
2010-05-16,75.89,75.1,70.08,73.69,-0.132344
2010-05-17,75.22,74.43,69.41,73.02,-0.144965
2010-05-18,72.28,73.69,69.87,71.95,-0.153828
2010-05-19,72.22,71.84,68.01,70.69,-0.164223
2010-05-20,69.7,71.68,70.04,70.47,-0.165838
2010-05-23,70.22,71.17,70.21,70.53,-0.16265
2010-05-24,68.28,69.55,68.75,68.86,-0.179457
2010-05-25,69.19,71.74,71.51,70.81,-0.168506
2010-05-26,70.85,74.66,74.55,73.35,-0.144107
2010-05-27,,74.02,73.97,74.0,-0.126328
2010-05-30,73.32,74.65,,73.98,-0.105658
2010-05-31,72.11,72.71,72.58,72.47,-0.135203
2010-06-01,71.85,73.75,72.86,72.82,-0.135975
2010-06-02,74.45,75.41,74.61,74.82,-0.114347
2010-06-03,75.08,72.09,71.51,72.89,-0.146187
2010-06-06,70.86,72.12,71.44,71.47,-0.163898
2010-06-07,71.78,72.3,71.99,72.02,-0.14567
2010-06-08,71.55,74.27,74.38,73.4,-0.128783
2010-06-09,72.91,75.29,75.48,74.56,-0.128565
2010-06-10,74.03,74.35,73.78,74.05,-0.143535
2010-06-13,74.64,75.2,75.12,74.99,-0.138937
2010-06-14,73.84,76.2,76.94,75.66,-0.112701
2010-06-15,74.89,78.14,77.67,76.9,-0.064363
2010-06-16,76.2,78.68,76.79,77.22,-0.027946
2010-06-17,76.11,78.22,77.18,77.17,-0.004772
2010-06-20,77.0,78.82,77.82,77.88,-0.017039
2010-06-21,75.76,78.04,77.21,77.0,-0.021725
2010-06-22,75.76,76.27,76.35,76.13,-0.039611
2010-06-23,73.77,76.47,76.51,75.58,-0.038667
2010-06-24,73.9,78.12,78.86,76.96,0.012498
2010-06-27,75.7,77.59,78.25,77.18,0.047361
2010-06-28,73.7,75.44,75.94,75.03,0.027527
2010-06-29,73.14,75.01,75.63,74.59,0.036692
2010-06-30,71.85,72.34,72.95,72.38,0.023907
2010-07-01,70.52,71.65,72.14,71.44,0.013765
2010-07-04,69.88,71.47,,70.68,0.002127
2010-07-05,70.06,71.45,71.98,71.16,0.033401
2010-07-06,69.29,73.51,74.07,72.29,0.020901
2010-07-07,72.08,74.71,75.44,74.08,0.009952
2010-07-08,73.21,75.42,76.09,74.91,0.012297
2010-07-11,72.68,74.37,74.95,74.0,0.00027
2010-07-12,71.69,76.65,77.15,75.16,0.037119
2010-07-13,74.15,76.77,77.04,75.99,0.043532
2010-07-14,73.63,76.19,76.62,75.48,0.008821
2010-07-15,73.41,75.37,76.01,74.93,0.027987
2010-07-18,72.68,75.62,76.54,74.95,0.048692
2010-07-19,73.16,76.22,77.44,75.61,0.049847
2010-07-20,73.66,75.37,76.56,75.2,0.024523
2010-07-21,72.43,77.82,79.3,76.52,0.026288
2010-07-22,74.58,77.45,78.98,77.0,0.039838
2010-07-25,73.68,77.5,78.98,76.72,0.02307
2010-07-26,74.36,76.13,77.5,76.0,0.004494
2010-07-27,73.18,76.06,76.99,75.41,-0.019376
2010-07-28,73.4,77.59,78.36,76.45,-0.009972
2010-07-29,73.75,78.18,78.95,76.96,-0.002721
2010-08-01,76.01,80.82,81.34,79.39,0.019389
2010-08-02,77.22,82.68,82.55,80.82,0.04961
2010-08-03,78.22,82.2,82.47,80.96,0.063444
2010-08-04,78.59,81.61,82.01,80.74,0.068272
2010-08-05,78.43,80.16,80.7,79.76,0.036383
2010-08-08,,80.99,81.48,81.24,0.052604
2010-08-09,77.13,79.6,80.25,78.99,0.052779
2010-08-10,76.22,77.64,78.02,77.29,0.036198
2010-08-11,74.28,75.52,75.74,75.18,0.038685
2010-08-12,73.14,75.11,75.39,74.55,0.043533
2010-08-15,72.5,74.85,75.24,74.2,0.049802
2010-08-16,73.04,76.93,75.77,75.25,0.057476
2010-08-17,73.58,76.47,75.42,75.16,0.039701
2010-08-18,74.03,75.3,74.43,74.59,0.006884
2010-08-19,72.68,74.26,73.46,73.47,-0.019223
2010-08-22,71.65,73.62,73.1,72.79,-0.016351
2010-08-23,70.62,72.38,71.63,71.54,-0.048164
2010-08-24,70.58,73.48,72.52,72.19,-0.050007
2010-08-25,71.43,75.02,73.36,73.27,-0.029279
2010-08-26,72.08,76.65,75.17,74.63,-0.004004
2010-08-29,73.43,76.6,74.7,74.91,-0.000534
2010-08-30,72.76,74.64,71.92,73.11,-0.033064
2010-08-31,72.89,76.35,73.91,74.38,-0.010904
2010-09-01,73.81,76.93,75.02,75.25,-0.016597
2010-09-02,74.25,76.67,74.6,75.17,-0.023766
2010-09-05,74.36,76.87,,75.62,-0.014338
2010-09-06,73.74,77.74,74.09,75.19,-0.010658
2010-09-07,74.58,78.17,74.67,75.81,0.005304
2010-09-08,75.33,77.47,74.25,75.68,-0.010072
2010-09-09,,78.16,76.45,77.31,0.004548
2010-09-12,75.42,79.03,77.19,77.21,-0.027459
2010-09-13,75.89,79.16,76.8,77.28,-0.043801
2010-09-14,75.91,78.91,76.02,76.95,-0.049531
2010-09-15,76.25,78.48,74.57,76.43,-0.053381
2010-09-16,76.26,78.21,73.66,76.04,-0.04664
2010-09-19,75.43,79.32,74.86,76.54,-0.057853
2010-09-20,76.37,78.42,73.52,76.1,-0.036587
2010-09-21,75.38,77.95,74.71,76.01,-0.016561
2010-09-22,74.8,78.11,75.18,76.03,0.011306
2010-09-23,75.07,78.87,76.49,76.81,0.030315
2010-09-26,75.83,78.57,76.52,76.97,0.037332
2010-09-27,74.67,78.71,76.18,76.52,0.016877
2010-09-28,75.79,80.77,77.86,78.14,0.039649
2010-09-29,77.24,82.31,79.97,79.84,0.070385
