상호,주소,휘발유_편차
뉴서울(강남),서울 강남구 언주로 716,592.5712161813292
서남주유소,서울 중구 통일로 30,551.8995587594183
지에스칼텍스(주)직영 역전점,서울 중구 퇴계로 15,538.125669180397
경복궁주유소,서울 종로구 율곡로 6 (중학동),535.66585089999
서계주유소,서울 용산구 청파로 367 (서계동),518.1136948655329
지에스칼텍스(주)초동주유소,서울 중구 마른내로 31,514.8256070902888
인양주유소,제주 제주시 추자면 영흥4길 1,484.3192833953499
한남지점,서울 용산구 한남대로21길 4 (한남동),479.13682770112496
필동주유소,서울 중구  퇴계로 196 (필동2가),470.8643557554274
SK에너지(주) 퇴계로주유소,서울 중구 퇴계로 228 (필동2가),467.329213308872
에너비스,서울 용산구 한남대로 82 (한남동),464.59699645287486
장충주유소,서울 중구 장충단로 202 (장충동1가),463.83689741231564
문동주유소,충북 청주시 서원구 남이면 척산화당로 383,463.6959251885612
(주)중앙에너비스 혜화주유소,서울 종로구 창경궁로35길 1,457.7697770180421
약수주유소,서울 중구 다산로 173,454.1087006554087
(주)대양씨앤씨 사직주유소,서울 종로구 사직로 65 (사직동),447.69742194465863
현대오일뱅크㈜직영 한남동주유소,서울 용산구 한남대로 204 (한남동),444.2604364488634
동자동주유소,서울 용산구 한강대로104길 6 (동자동),443.52593754374004
지에스칼텍스(주)주성주유소,서울 강남구 영동대로 716,442.4127900975687
현대오일뱅크㈜직영 갈월동주유소,서울 용산구 한강대로 322 (갈월동),436.12179416907935
현대오일뱅크㈜직영 재동주유소,서울 종로구 율곡로 58 (경운동),436.0807212717894
SK에너지(주) 통일주유소,서울 중구 동호로 296,433.2011041017459
경원주유소,서울 강남구 도산대로 428 (청담동),432.945577194998
구로주유소,서울 구로구 구로동로 137 (구로동),430.6958507096632
갤러리아주유소,서울 강남구 압구정로 426,428.61180973667575
삼성주유소,서울 강남구 삼성로 521 (삼성동),428.06389460891563
(주)선문에너지 중앙주유소,서울특별시 서초구  바우뫼로 219 (양재1동),421.8556837356506
동우주유소,서울특별시 강남구  봉은사로 311 (논현동),419.71349421067225
현대오일뱅크㈜직영 오천주유소,서울 강남구 봉은사로 503 (삼성동),418.57404431274966
SK북악주유소,서울 종로구 평창문화로 137,413.5745434820528
SJ오일(주) 여의도주유소,서울 영등포구 은행로 64,411.7280113112417
대신석유㈜서원주유소,서울 서초구 반포대로 142 (서초동),396.3250957452229
행촌제2주유소,서울 서대문구 성산로 490 (대신동),395.1986740013983
현대오일뱅크㈜직영 여의도현대주유소,서울 영등포구 의사당대로 154 (여의도동),392.31483935606
(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),387.0523397967312
선우상사Q엔느,서울 서초구 방배로 66 (방배동),385.0886913918952
현대오일뱅크(주)직영 소월길주유소,서울 용산구 소월로 66 (후암동),381.4859183304341
제3한강주유소,서울 용산구 한남대로 45 (한남동),376.97680422811163
(주)옥수하이웨이스테이션,서울 성동구 독서당로 168 (옥수동),376.586274367089
경일주유소,서울 영등포구 국회대로 746 (여의도동),375.73636865018324
현대오일뱅크㈜직영 삼성동주유소,서울 강남구 테헤란로 619 (삼성동),374.69550308926625
삼선주유소,서울 성북구 창경궁로 324,369.16521463654965
동일석유(주) 덕정IC주유소, ,367.2306559256716
올림픽주유소,서울 송파구 위례성대로 188 (오금동),366.5354633518291
명품주유소,서울 강남구 도곡로 249 (역삼동),363.574987062631
현대오일뱅크㈜직영 사평로주유소,서울 서초구 사평대로 350 (서초동),362.74543071644763
반포주유소,서울 서초구 사평대로 12 (방배동),361.78941325295597
강동주유소,서울 강동구 양재대로 1509 (길동),361.2784629000061
흥국주유소,서울 용산구 한남대로 204 (한남동),361.0191494620177
㈜주성이앤디,서울 강남구 영동대로 716 (청담동),359.816836221785
재동주유소,서울특별시 종로구 율곡로 58 (경운동),359.14241649365607
청파주유소,서울특별시 용산구  청파로 311 (청파동1가),358.69039599594936
동성주유소,서울 강남구 영동대로 620,355.82637545696355
북악주유소,서울 성북구 정릉로 218 (정릉동),353.26551030018584
오일프러스 셀프,서울 강남구 남부순환로 2651 (도곡동),349.30095770275085
(주)강남서초에너지,서울 서초구 바우뫼로 124 (양재동),348.85670227481654
GS칼텍스 경복궁점,서울 종로구 율곡로 6,347.78579412498544
학여울주유소,서울 강남구 남부순환로 3170 (일원2동),347.18540715181194
주유소티파니블루,경기 성남시 분당구 판교로 35  (운중동),345.5277699140844
지에스칼텍스(주) 국회대로주유소,서울 영등포구 국회대로 746 (여의도동),338.83965652084197
대성석유(주)역전주유소,서울 중구 퇴계로 15(남대문로5가),338.12380064452185
대성석유(주)동호주유소,서울 강남구 봉은사로113길 51,336.2504589578249
양재주유소,서울 서초구 바우뫼로 178,334.8741017645529
분당로마도시고속주유소,경기 성남시 분당구 수내로 2 (수내동),332.21849797556183
(주)남경주유소,서울 용산구 녹사평대로11길 24,329.6668252892346
초동주유소,서울시 중구 마른내로 31,327.4548659563419
경일주유소,서울특별시 영등포구 국회대로 746 (여의도동),327.31029363109167
현대오일뱅크(주)직영 한양주유소,서울 강남구 압구정로 302 (신사동),326.4895176291192
제일주유소,경기 평택시 평택로 120 (신대동),326.2014406803401
(주)소모에너지 쎈트럴주유소,서울 강남구 삼성로 335,325.77329731843906
사우디제 7 주유소,경기 고양시 일산동구 백마로 37 (장항동),322.63342404925345
서원주유소,서울 송파구 중대로 154 (가락동),320.9438361472261
오렌지주유소,경기 고양시 일산동구 백마로 49 (장항동),317.6104247533135
현대오일뱅크㈜직영 강변현대주유소,서울 용산구 원효로 9 (청암동),313.0209480915557
신당동주유소,서울 중구 다산로 242 (신당동),308.29477115087286
한석주유소,서울 용산구 이촌로 164,307.364942472159
㈜삼현석유 천일주유소,부산 동구 중앙대로 168 (초량동),306.4627289173697
오토조이주유소,서울 강남구 영동대로 726 (청담동),306.1337301707848
지에스칼텍스㈜ 주성주유소,서울 강남구 영동대로 716,304.63452849341405
서울주유소,서울 관악구 신림로 183 (서림동),302.6320818462984
중앙로주유소,서울 구로구 중앙로 14,302.1422924622622
버드나룻길주유소,서울 영등포구 버드나루로 111 (당산동),301.88459947917283
(주)신태성주유소,서울 용산구 원효로 147 (원효로3가),301.3041586186036
한솔주유소,대전 대덕구 한밭대로 1036 (오정동),300.34475941653847
중앙주유소,서울 서초구 양재동 바우뫼로 219,298.3209072805419
뉴서울(강남),서울 강남구 언주로 223 (논현동),297.8595862257582
서해주유소,경기 부천시 오정구 벌말로 8 (삼정동),291.8629476352663
SK논현주유소,서울 강남구 논현로 747 (논현동),291.29546019609245
대청주유소,서울 강남구 개포로 654 (일원동),288.8063881421896
SK(주)서초제일주유소,서울 서초구 사임당로 116 (서초동),286.3295585802094
하계주유소,서울 노원구 노원로17길 29 (하계동),283.0974368800683
주식회사 에스에스오토,서울 마포구 서강로 76 (창전동),280.32830854447155
노원역주유소,서울 노원구 노해로75길 20-25  (상계동),279.47748456034446
신사주유소,서울 강남구 도산대로 142 (논현동),275.42370775254574
금정주유소,서울 서초구 바우뫼로 124 (양재동),274.7544509483074
(주)어나더필주유소,서울특별시 강남구 도산대로 459 (청담동),273.550070065107
삼전셀프주유소,서울 송파구 백제고분로 199,273.349692038028
동성주유소,서울 강남구 영동대로 620 (삼성동),273.09714372414294
(주)에이치케이지 신풍주유소,전남 여수시 율촌면여순로 352,270.74310430715855
성원이앤에스(주)영등포지점,서울 영등포구 국회대로52길 9-13 (영등포동7가),270.57737039302697
강남주유소,서울 강남구 논현동 211-14,270.07511455947804
구도일특종주유소,서울특별시 종로구 평창문화로 90 (평창동),269.81439546583226
(주)영원 풍기주유소,서울 용산구 원효로 178 (원효로2가),269.4534193555195
수내동주유소,경기 성남시 분당구 불정로 274 (수내동),269.31109987773254
고객사랑주유소,서울 송파구 오금로 141 (방이동),269.22669762394275
덕행주유소,인천 중구 연안부두로 21 (항동7가),268.34877133381
만리주유소,서울 중구 만리재로 151 (만리동2가),267.59940982672026
안풍주유소,서울 종로구 자하문로 303,266.85888795375257
로데오주유소,서울 강남구 도산대로 459 (청담동),265.6345140555065
현대오일뱅크㈜직영 코리아주유소,서울 양천구 신목로7길 1,265.2215968308216
성수만세주유소,서울특별시 성동구 왕십리로 109 (성수동1가),264.0600610464273
(주)대신성에너지,서울특별시 서초구 방배로 151 (방배동),263.6496651987667
주성주유소,서울 강남구 영동대로 716 (청담동),263.61675062543225
이칠주유소,대구 남구 중앙대로 237 (대명동),262.3624006983935
화성주유소,서울 중구 다산로 233,262.13366320028734
울릉수협주유소,경북 울릉군 울릉읍 울릉순환로 352,260.3191785669723
청계로주유소,서울 성동구 청계천로 454 (하왕십리동),259.98592346253656
울릉주유소,경북 울릉군 울릉읍 울릉순환로 296,259.3709355370977
만세주유소송정점,서울 성동구 동일로 249 (송정동),257.89274467538127
분당시범주유소, ,257.863223152778
지에스칼텍스(주)직영동성점,서울특별시 강남구 영동대로 620 (삼성동),257.23782763647233
최고주유소,경기도 수원시 권선구 권선로 651 (권선동),255.68450458986237
경기에너지(주),인천광역시 계양구 계양대로 65 [B728] (작전동),255.666303291828
SK에너지 양지주유소,서울 마포구 마포대로 69 (도화동),253.00954337102021
스타주유소,경기 수원시 팔달구 정조로 663,252.4953903047869
대치주유소 /결번,서울 강남구 테헤란로98길 33 (대치동),252.08650892329425
(유)서브 천변주유소,광주 동구 천변우로 403 (불로동),251.61161601993743
(주)엠오티이엔지 직영 삼화주유소,서울 관악구 보라매로 41,250.76583422421828
태원석유 오일테크주유소,경기 성남시 중원구 산성대로 336 (중동),249.11258353189442
노원교주유소,서울 도봉구 마들로 776 (도봉동),248.80849063414266
KH여의도주유소,서울 영등포구 국회대로 794 (여의도동),248.21153995067414
주식회사 신동방석유,경기 부천시 원미구 상일로 42,247.70331168633533
보문주유소,서울특별시 성북구 보문로 27 (보문동7가),247.31739465151517
아시아드주유소, 부산광역시 기장군 일광면 이화로 130,247.03629462777832
수촌주유소,경기도 화성시 장안면 3.1만세로 480,246.90854808897356
코리아주유소,서울 양천구 신목로7길 1 (신정동),245.2375059121822
지에스칼텍스㈜에너지플러스허브GS타워,서울 강남구 논현로 516 (역삼동),244.36318228725025
대동석유 압구정주유소,서울 강남구 언주로 842 (신사동),244.2746343256079
평화주유소,서울 양천구 안양천로 657 (신정동),243.3871085779406
염창동주유소,서울 강서구 양천로 720 (염창동),243.31861520589993
지에스칼텍스㈜ 은마주유소,서울 강남구 영동대로 235,243.2482314875731
(주)태림석유강동주유소,서울 송파구 오금로 241 (방이동),241.9580117723902
대교주유소,서울 강남구 강남대로 640 (신사동),241.95281521701983
(주)그린앤컴퍼니지중해주유소 수나지점,서울특별시 마포구 월드컵북로 62 (성산동),241.49862434080265
㈜소모에너지 백궁주유소,경기 성남시 분당구 성남대로407번길 13,241.49598753749612
현대오일뱅크㈜직영 공단1주유소,인천 남동구 남동대로 367 (남촌동),240.34548163257764
현대오일뱅크㈜직영 공단2주유소,인천 남동구 앵고개로 463 (고잔동),239.61281414269774
역전주유소,서울특별시 중구 퇴계로 15 (남대문로5가),238.95781683457213
옥수주유소,서울 성동구 독서당로 168 (옥수동),238.08260482918917
미래주유소,서울 관악구 신림로 437 (봉천동),237.29680816292756
GS타워주유소,서울 강남구 논현로 516 (역삼동),234.28184610995652
일진실업(주)스포월드주유소,서울 강남구 언주로 559 (역삼동),234.23907033984744
수도주유소,서울 중구 동호로 335 (오장동),234.13257304566068
서계주유소,서울 용산구 청파로 369 (서계동),233.1707628727666
주홍셀프,대전 서구 도산로 475 (탄방동),232.13633729969442
88주유소,서울 동작구 사당로 158 (사당동),231.68406240241598
자하문주유소,서울 종로구 자하문로 248 (부암동),231.58234069515663
좋은하루주유소,경기 부천시 원미구 부흥로 32,228.626906800141
서하남배다리주유소,경기 하남시 서하남로 (감북동),226.88886107077627
SK산본주유소,경기도 군포시  번영로610번길 1 (금정동),225.21955410711158
독도주유소,경북 울릉군 서면 태하리 울릉순환로 2150,225.1868605969101
합정주유소,서울 마포구 양화로 13 (합정동),225.14715945230935
SJ상사 여의도주유소,서울특별시 영등포구 은행로 64 (여의도동),223.65565699476645
동일주유소,서울 성동구 광나루로 254 (성수동2가),223.55917516678502
계룡주유소,대전 유성구 현충원로 177,223.42854256603397
SK에너지(주)파워디젤주유소,경기 시흥시 옥구공원로 75 (정왕동),222.96039250564647
(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,222.82342871463462
태운주유소,인천 미추홀구 독배로 171 (학익동),221.53086596429756
현대오일뱅크(주)직영 신사현대주유소,서울 강남구 도산대로 163 (신사동),220.79164702648762
남산,서울 용산구 이태원로 255 (한남동),220.55150171982265
윈윈주유소,서울 영등포구 가마산로 379 (대림동),220.41611819874964
삼성로주유소,서울 강남구 삼성로 563(삼성동),219.86579282006454
서하남나들목주유소,경기 하남시 서하남로 29 (감북동),219.59915320015244
에쓰-오일(주)경일주유소,서울 영등포구 국회대로 746 (여의도동),218.5021544187134
노원역주유소,서울특별시 노원구  노해로75길 20-25 (상계동),217.967351931683
오솔주유소,경기 오산시 경기대로 845 (세교동),217.24862516898187
청기와주유소,서울 마포구 동교동 160-5,216.36676541341242
GS칼텍스(주) 동호점,서울 강남구 봉은사로113길 51 (삼성동),216.35926962753712
한남동,서울특별시 용산구 한남대로21길 4 (한남동),216.074748594058
제삼주유소,서울 성북구 안암로 17 (안암동4가),215.45821763838651
지에스칼텍스(주)직영연대앞점,서울 서대문구 성산로 490,214.72724344566842
희성석유(주)금곡,경기 성남시 분당구 불정로 1 (정자동),214.53032588689442
(주)협신로지스,경북 경주시 유림로5번길 85-4 (황성동),214.52586850354558
SK만땅주유소,대구 북구 팔거천동로 197 (동천동),213.73402510884426
(주)서남에너지,경기도 하남시 서하남로 28 (감북동),213.16853913522178
세명주유소,서울 송파구 삼학사로 22 (석촌동),213.05850946752304
용강주유소,서울특별시 마포구  토정로 260 (용강동),212.8799088297161
GS칼텍스(주)직영 경복궁점,서울 종로구 율곡로 6 (중학동),212.37177257373995
청담대교주유소,서울 광진구 능동로 85 (자양동),211.38222520857033
평화주유소,서울특별시 양천구 안양천로 657 (신정동),211.27340806528957
SK에너지(주) 시흥2공단주유소,경기 시흥시 경제로 117,210.76302470062015
서대구공단주유소,대구 서구 와룡로 358,210.60245321082616
오렌지주유소,서울 강동구 성안로 102 (성내동),210.571889316101
SK에너지(주)시화공단주유소,경기 안산시 단원구 번영로 109 (성곡동),209.15196437843005
광주댐주유소,전남 담양군 가사문학면 가사문학로 880,209.10305952410735
선진주유소,제주특별자치도 서귀포시 안덕면 한창로 334,208.4662297323778
오일씨티,서울 강남구 남부순환로 2718 (도곡동),208.25931653432912
SK 서하남 IC 주유소,경기 하남시 서하남로 28 (감북동),208.04680426682793
SK행복충전 울산방향 장안충전소,부산 기장군 장안읍 동해고속도로 26,207.69788183440855
논현동주유소,서울 강남구 학동로 229 (논현동),207.07743886492625
한일주유소,서울 영등포구 도림로 486 (문래동3가),206.89943470975282
현대오일뱅크㈜직영 하계주유소,서울 노원구 노원로17길 29 (하계동),206.8293606744121
한국(강남),서울 강남구 도곡로 162 (도곡동),205.35921174690787
(주)새서울석유 신도시주유소,경기 성남시 분당구 황새울로359번길 3,203.6640400667589
무진에너지(주)스카이점,인천 중구 공항서로 187 (남북동),203.63455318922044
지에스칼텍스㈜직영 세교주유소, ,203.30195040719087
SK에너지(주) 안국주유소,서울 마포구 양화로 33 (합정동),202.99947732466453
남일주유소,경기 구리시 경춘로 30 (교문동),202.83689741231413
독도주유소,경북 울릉군 서면 울릉순환로 2164,201.97352015148428
현대오일뱅크㈜직영 선유로셀프주유소,서울 영등포구 선유로 114(양평동1가),201.8959163312008
기름나라주유소,서울 서초구 우면동 564-5,201.58263615087697
분당시범주유소,경기 성남시 분당구 새마을로 65 (서현동),200.972080914541
왕십리지점,서울 성동구 살곶이길 428 (마장동),200.2695981179252
성남,경기도 성남시 수정구 산성대로 241 (신흥동),199.80238728675067
현대오일뱅크㈜직영 부천주유소,경기 부천시 원미구 신흥로 281,199.75773747375405
당산,서울 영등포구 영중로 169 (영등포동8가),199.75000554482767
성산대교셀프주유소,서울 마포구 성산로 144,199.33068332252168
능주주유소,서울 동대문구 청계천로 431 (신설동),198.77014704288513
GS 넥스테이션(주) 초동주유소,서울 중구 마른내로 31 (초동),197.67710063960425
마포주유소,서울 마포구 마포대로 186 (공덕동),197.66314263159362
대지주유소,서울 영등포구 영등포로 115 (당산동2가),196.96706951836228
동아주유소,서울 구로구 도림로 91 (구로동),195.6644358176826
백마주유소,경기 고양시 일산동구 중앙로 990 (백석동),194.8732191575008
현대오일뱅크㈜직영 신공항주유소,인천 중구 신도시남로141번길 6 (운서동),194.61871809398727
백제고분로주유소,서울 송파구 오금로 143 (방이동),194.602680092436
송우리주유소,경기 포천시 소흘읍 호국로 579,194.48784793517672
남해주유소,경남 창원시 성산구 외동반림로 3 (중앙동),194.35680343376654
(주)오비에너지,경기 고양시 일산동구 백마로 31 (장항동),194.06228458490804
선경주유소,전라남도 여수시 좌수영로 99 (연등동),193.65569337952576
매지주유소,강원 원주시 흥업면 북원로 981,193.60538777278975
㈜소모에너지 동화주유소,경기 성남시 분당구 돌마로 176 (정자동),193.45905183615852
효성석유(주)진달래주유소,서울 강남구 도곡로 208 (도곡동),192.7199454956479
SK에너지(주) 시화산업주유소,경기 시흥시 공단1대로 195,191.06950005127757
현대오일뱅크 장원주유소,서울 중구 동호로 203 (신당동),190.1546143648914
