상호,주소,휘발유_편차
청전주유소,전남 담양군 담양읍 무정로 76,-161.65612680022537
신평엘피지충전소,충남 당진시 신평면 서해로 6923-5,-137.14675303902754
삽재대원주유소,경상북도 영주시 봉화로 154 (상망동),-124.51856876377815
서창주유소, ,-121.74883764122167
(주)윈업-파주지점,경기 파주시 통일로 588,-117.23294774404272
SK행복충전 부산방향 장안충전소,부산 기장군 장안읍 동해고속도로 25,-115.26112461241928
SK행복충전 연성에너지충전소,경남 양산시 공단로 31 (신기동),-114.05990107420553
센텀타이거주유소,부산광역시 수영구 민락본동로 30 (민락동),-96.3600093926957
불은주유소,인천광역시 강화군 불은면 강화동로 670-1,-90.6168193172357
(주)이마트셀프전용주유소,경상북도 안동시 옥동1길 2,-90.31381338881624
SK(주)동해대로주유소,강원 강릉시 연곡면 동해대로 4276,-89.46699635399283
황금알뜰주유소,대구 동구 동촌로 358 (용계동),-84.53956593426098
(주)팔달에너지,대구 북구 칠곡중앙대로 132 (매천동),-83.22725060050782
차사랑주유소,대구광역시 남구  성당로 138 (대명동),-83.19407173044839
화성주유소, ,-78.80072867934125
착한정원주유소,대구광역시 달성군 화원읍 사문진로 339,-78.10785165005824
광신직영(태광셀프),경남 창원시 의창구 서상로 14,-76.94747733372394
영신제2주유소,대구 서구 서대구로 207 (평리동),-76.44201344766176
미창주유소,경남 창원시 의창구 북면 구룡로 15-66,-75.67724683439923
관문주유소,전라북도 익산시  목천로 128 (목천동),-75.4042175902068
혁신도시주유소,대구광역시 동구 안심로 503 (괴전동),-75.35096341815398
송포새한주유소,경남 사천시 삼천포대교로 817 (송포동),-74.46359688191866
부영파크주유소,경상북도 구미시  인동가산로 395 (구평동),-74.22500871752838
이마트셀프주유소순천점,전남 순천시 팔마로 191,-73.98842583840188
동부3,경남 창원시 성산구 마디미로 73 (상남동),-73.6612358240616
(주)원흥 고양동지점,경기 고양시 덕양구 호국로 1789,-73.52086179293521
서일산주유소,경기도 고양시 일산서구  덕이로 94 (덕이동),-73.4755820092591
한우리주유소,경기 파주시 통일로 588,-73.41273943414403
참사랑2주유소,경기 수원시 장안구 경수대로 1021 (파장동),-72.91050303121489
신도화정보,인천 남구 경인로 304 (도화동),-71.68466726680904
중앙주유소,경기 남양주시 경춘로 928 (금곡동),-71.59418191062555
SK행복충전 상무대엘피지충전소,전남 장성군 삼서면 영장로 1910,-71.58132935028723
국가대표제1주유소,대구광역시 서구 서대구로 170,-71.30724077995396
(주)대상오일성당주유소,대구 달서구 성당로 217 (두류동),-71.0496906426183
(주)미니E주유소,대구 달성군 다사읍 서재로31길 2 (다사읍),-70.34303149507294
(주)보문 북항아이시주유소,인천광역시 서구  원석로 133,-70.18269728670005
청송주유소,경북 청송군 청송읍 금월로 51,-70.17689326949484
슈퍼맨주유소, ,-69.89660696247327
해피주유소,광주광역시 광산구 건재로 761 (본덕동),-69.74089328672846
운정주유소,충북 음성군 생극면중원대로 10,-69.60648253501041
하예주유소,인천광역시 서구  건지로 352 (가좌동),-69.4792283729279
대한주유소,서울 영등포구 가마산로 367 (대림동),-69.42722406287407
동부3주유소,경남 창원시 성산구 마디미로 73,-69.1089866458204
대교주유소, ,-69.01195595204922
동계주유소,대구 동구 해동로 171 (검사동),-68.92594014293977
광명주유소,대구광역시 서구  서대구로 201 (평리동),-68.56216297390758
미래주유소,경기 화성시 봉담읍 효행로 268,-68.5422072416685
미니주유소,대구 남구 중앙대로48길 6,-68.31545877166558
(주)평동제일주유소,광주 광산구 동곡로 552 (장록동),-68.29442104055278
하영주유소,부산광역시 기장군 기장읍 반송로 1517,-68.22435519339885
(주)원흥 원흥동지점,경기 고양시 덕양구 서오릉로 712 (원흥동),-68.18098394302406
송림주유소,대구광역시 북구  칠곡중앙대로 168 (태전동),-68.1193692997529
