날짜,고급휘발유,보통휘발유,자동차용경유,실내등유,보휘-4w
2010-01-06,1712.71,1597.16,1373.69,917.94,
2010-01-13,1703.21,1583.76,1352.68,889.68,
2010-01-20,1667.09,1556.6,1317.67,859.49,
2010-01-27,1690.77,1570.51,1321.05,863.52,
2010-02-03,1690.33,1579.44,1327.14,862.33,-0.011095
2010-02-10,1679.33,1568.4,1328.53,854.38,-0.009698
2010-02-17,1683.33,1574.61,1334.09,858.88,0.01157
2010-02-24,1707.52,1599.75,1362.11,890.95,0.018618
2010-03-03,1725.14,1612.36,1375.26,898.51,0.020843
2010-03-10,1734.82,1620.3,1385.63,906.35,0.033091
2010-03-17,1722.69,1616.0,1378.0,902.66,0.026286
2010-03-24,1712.43,1604.81,1362.46,890.74,0.003163
2010-03-31,1741.92,1637.76,1406.9,933.45,0.015753
2010-04-07,1749.2,1643.46,1423.42,952.97,0.014294
2010-04-14,1738.81,1633.59,1420.85,950.24,0.010885
2010-04-21,1729.67,1615.59,1401.8,932.88,0.006717
2010-04-28,1743.7,1644.65,1435.37,965.55,0.004207
2010-05-05,1745.18,1633.35,1436.79,964.54,-0.006152
2010-05-12,1707.81,1602.87,1410.0,935.26,-0.018805
2010-05-19,1665.2,1564.64,1366.65,894.06,-0.031536
2010-05-26,1675.58,1568.35,1368.17,900.14,-0.046393
2010-06-02,1700.01,1598.92,1399.44,937.71,-0.021079
2010-06-09,1714.42,1612.85,1414.59,948.9,0.006226
2010-06-16,1727.69,1621.28,1417.99,950.64,0.0362
2010-06-23,1711.72,1615.57,1410.13,944.08,0.030108
2010-06-30,1716.28,1618.16,1424.84,955.24,0.012033
2010-07-07,1685.12,1589.63,1387.97,915.16,-0.014397
2010-07-14,1687.61,1589.89,1383.59,911.56,-0.019361
2010-07-21,1686.76,1584.29,1374.34,908.35,-0.019362
2010-07-28,1698.69,1604.92,1411.0,943.53,-0.008182
2010-08-04,1705.37,1608.32,1420.32,953.48,0.011757
2010-08-11,1687.97,1588.82,1401.52,931.35,-0.000673
2010-08-18,1658.09,1561.91,1367.36,893.44,-0.014126
2010-08-25,1660.57,1556.74,1358.49,890.96,-0.03002
2010-09-01,1690.56,1582.35,1403.63,929.31,-0.016147
2010-09-08,1674.83,1575.66,1390.29,926.28,-0.008283
2010-09-15,1677.71,1574.1,1384.3,919.73,0.007805
2010-09-22,1669.16,1562.61,1364.28,903.39,0.003771
2010-09-29,1687.09,1586.44,1400.82,934.45,0.002585
2010-10-06,1701.54,1601.78,1422.63,961.07,0.016577
2010-10-13,1718.72,1615.47,1426.51,967.48,0.026282
2010-10-20,1696.9,1593.64,1395.47,936.07,0.019858
2010-10-27,1698.81,1592.92,1395.54,940.01,0.004085
2010-11-03,1715.01,1613.15,1426.05,967.78,0.007098
2010-11-10,1726.96,1621.9,1434.26,980.56,0.00398
2010-11-17,1734.83,1629.38,1433.65,967.9,0.022427
2010-11-24,1738.63,1627.49,1425.58,967.34,0.021702
2010-12-01,1781.02,1673.19,1477.48,1022.99,0.037219
2010-12-08,1813.46,1705.32,1508.28,1047.78,0.051434
2010-12-15,1793.96,1714.2,1510.47,1049.69,0.052057
2010-12-22,1804.67,1696.71,1486.03,1023.4,0.042532
2010-12-29,1862.8,1733.4,1520.1,1059.55,0.035985
2011-01-05,1854.68,1740.35,1536.16,1068.98,0.020542
2011-01-12,1852.28,1737.52,1537.04,1076.36,0.013604
2011-01-19,1851.87,1737.03,1539.13,1088.29,0.023764
2011-01-26,1835.13,1721.72,1526.04,1076.05,-0.006738
2011-02-02,1855.95,1745.47,1555.48,1114.39,0.002942
2011-02-09,1855.41,1741.77,1571.76,1108.62,0.002446
2011-02-16,1862.95,1753.65,1587.59,1106.77,0.009568
2011-02-23,1889.47,1789.89,1618.31,1137.37,0.039594
2011-03-02,1961.27,1841.81,1680.88,1189.34,0.055194
2011-03-09,1966.39,1847.18,1689.94,1206.4,0.060519
2011-03-16,1948.27,1834.77,1699.31,1217.94,0.046258
2011-03-23,1929.13,1831.61,1695.22,1214.7,0.023309
2011-03-30,1954.81,1817.26,1689.62,1227.33,-0.013329
2011-04-06,1937.72,1814.87,1689.57,1233.94,-0.017492
2011-04-13,1936.56,1813.49,1687.62,1244.62,-0.011598
2011-04-20,1938.56,1824.01,1675.97,1229.43,-0.004149
2011-04-27,1974.17,1846.04,1682.93,1266.8,0.015837
2011-05-04,1954.44,1838.2,1628.4,1232.68,0.012855
2011-05-11,1920.07,1801.22,1589.46,1205.5,-0.006766
2011-05-18,1885.95,1771.5,1588.27,1189.27,-0.028788
2011-05-25,1875.46,1762.01,1585.98,1174.37,-0.045519
2011-06-01,1896.92,1768.65,1598.44,1200.36,-0.037836
2011-06-08,1883.04,1784.18,1624.56,1211.82,-0.00946
2011-06-15,1883.28,1785.26,1633.01,1219.37,0.007767
2011-06-22,1883.4,1763.95,1592.67,1187.65,0.001101
2011-06-29,1879.35,1761.75,1591.25,1174.76,-0.003901
2011-07-06,1916.21,1811.06,1624.68,1179.19,0.015066
2011-07-13,1923.78,1833.23,1651.25,1191.51,0.02687
2011-07-20,1922.82,1825.21,1652.32,1192.21,0.034729
2011-07-27,1941.12,1829.67,1649.47,1195.83,0.038553
2011-08-03,1920.05,1821.97,1634.0,1177.01,0.006024
2011-08-10,1895.0,1802.09,1608.15,1152.35,-0.016986
2011-08-17,1900.13,1807.89,1599.75,1148.04,-0.009489
2011-08-24,1912.48,1808.09,1584.89,1140.83,-0.011794
2011-08-31,1964.86,1865.61,1641.5,1182.71,0.023952
2011-09-07,1961.84,1860.08,1632.1,1163.14,0.032179
2011-09-14,1969.42,1863.54,1636.29,1169.06,0.030782
2011-09-21,1968.53,1864.89,1639.08,1171.92,0.031414
2011-09-28,1992.42,1891.02,1676.74,1209.07,0.01362
2011-10-05,1999.5,1897.97,1670.68,1211.22,0.02037
2011-10-12,2007.39,1903.13,1670.28,1219.36,0.021245
2011-10-19,1971.95,1872.38,1650.63,1204.39,0.004016
2011-10-26,1958.36,1850.28,1639.34,1192.59,-0.021544
2011-11-02,1934.12,1832.31,1684.41,1224.97,-0.034595
2011-11-09,1929.22,1827.01,1698.88,1230.49,-0.039997
2011-11-16,1899.99,1793.26,1706.61,1233.58,-0.042256
2011-11-23,1869.54,1759.75,1667.27,1201.92,-0.048928
2011-11-30,1895.34,1785.92,1692.56,1227.19,-0.025318
2011-12-07,1888.82,1783.29,1659.8,1191.17,-0.02393
2011-12-14,1899.83,1798.18,1669.61,1195.63,0.002744
2011-12-21,1892.28,1781.95,1629.95,1173.96,0.012615
2011-12-28,1958.79,1841.99,1695.54,1215.93,0.031396
2012-01-04,1987.17,1870.03,1722.91,1233.86,0.04864
2012-01-11,1998.43,1893.25,1746.22,1255.34,0.05287
2012-01-18,1992.01,1881.37,1725.78,1233.64,0.055793
2012-01-25,1981.16,1859.65,1695.83,1203.13,0.009587
2012-02-01,2009.36,1891.73,1720.02,1226.53,0.011604
2012-02-08,2011.83,1899.27,1723.23,1228.59,0.00318
2012-02-15,2046.78,1932.37,1748.53,1261.05,0.027108
2012-02-22,2046.13,1923.3,1725.2,1243.43,0.034227
2012-02-29,2065.83,1959.49,1759.77,1287.12,0.035819
2012-03-07,2072.03,1956.91,1744.12,1265.68,0.030349
2012-03-14,2070.07,1961.16,1747.75,1267.34,0.014899
2012-03-21,2067.54,1957.04,1742.25,1265.14,0.017543
2012-03-28,2106.36,1997.45,1783.14,1307.94,0.019372
2012-04-04,2091.13,1987.03,1766.28,1289.72,0.015392
2012-04-11,2076.33,1973.05,1754.68,1277.42,0.006063
2012-04-18,2035.2,1937.51,1723.79,1257.77,-0.009979
2012-04-25,2037.95,1922.76,1711.19,1242.69,-0.037393
2012-05-02,2018.59,1922.21,1723.21,1251.72,-0.032622
2012-05-09,1979.64,1876.34,1678.68,1209.38,-0.049015
2012-05-16,1968.1,1871.18,1683.15,1210.78,-0.034235
2012-05-23,1964.39,1848.66,1656.36,1183.44,-0.038538
2012-05-30,1968.93,1870.59,1682.97,1209.58,-0.026855
2012-06-06,1915.76,1818.27,1640.82,1164.47,-0.030949
2012-06-13,1882.71,1789.21,1635.52,1151.51,-0.043807
2012-06-20,1810.29,1703.96,1564.75,1092.62,-0.078273
2012-06-27,1829.99,1730.69,1607.17,1122.23,-0.074789
2012-07-04,1876.7,1765.64,1628.68,1143.26,-0.028945
2012-07-11,1903.75,1796.16,1656.37,1170.0,0.003884
2012-07-18,1927.42,1824.87,1665.21,1187.36,0.070958
2012-07-25,1926.13,1819.98,1649.31,1174.91,0.051592
2012-08-01,1970.54,1867.57,1695.33,1218.0,0.05773
2012-08-08,2020.74,1911.45,1717.2,1237.25,0.064187
2012-08-15,2051.61,1951.08,1762.32,1278.52,0.069161
2012-08-22,2004.43,1897.45,1713.27,1239.45,0.042566
2012-08-29,2019.4,1907.48,1768.86,1291.79,0.02137
2012-09-05,2002.87,1896.06,1774.88,1307.15,-0.008051
2012-09-12,1997.88,1888.5,1752.39,1286.75,-0.032075
2012-09-19,1958.54,1859.86,1701.9,1239.85,-0.019811
2012-09-26,1954.15,1830.37,1645.2,1219.64,-0.040425
2012-10-03,1999.07,1885.97,1721.4,1259.37,-0.005322
2012-10-10,2011.81,1891.26,1720.7,1258.62,0.001461
2012-10-17,1950.16,1838.8,1691.53,1224.03,-0.011323
2012-10-24,1899.73,1772.02,1635.56,1180.23,-0.031879
2012-10-31,1923.55,1806.64,1686.98,1218.51,-0.042063
2012-11-07,1903.46,1789.57,1647.35,1171.52,-0.053768
2012-11-14,1918.18,1806.42,1651.23,1182.32,-0.017609
2012-11-21,1934.71,1805.51,1627.9,1159.81,0.018899
2012-11-28,1948.07,1823.43,1665.57,1189.39,0.009293
2012-12-05,1923.71,1805.77,1663.15,1178.75,0.009052
2012-12-12,1910.26,1799.57,1647.72,1164.12,-0.003792
2012-12-19,1899.18,1785.11,1622.59,1158.06,-0.011299
2012-12-26,1909.15,1780.27,1602.36,1143.52,-0.02367
2013-01-02,1953.25,1834.49,1658.94,1197.86,0.015905
2013-01-09,1945.81,1829.6,1661.94,1207.5,0.016687
2013-01-16,1918.37,1813.35,1647.39,1199.61,0.01582
2013-01-23,1925.31,1810.95,1630.66,1176.65,0.017233
2013-01-30,1990.41,1878.61,1687.95,1236.35,0.02405
2013-02-06,2040.53,1921.37,1730.38,1266.57,0.050159
2013-02-13,2042.15,1936.44,1733.85,1278.92,0.06788
2013-02-20,2000.68,1890.46,1679.0,1221.96,0.043905
2013-02-27,2013.78,1905.13,1707.1,1247.76,0.014117
2013-03-06,1980.1,1869.75,1649.32,1198.91,-0.026866
2013-03-13,1968.84,1861.17,1650.89,1194.04,-0.03887
2013-03-20,1949.44,1831.25,1614.59,1159.38,-0.03132
2013-03-27,1982.62,1838.54,1616.03,1152.27,-0.034953
2013-04-03,1962.08,1850.59,1652.97,1185.39,-0.010247
2013-04-10,1924.0,1806.12,1619.52,1152.54,-0.029578
2013-04-17,1862.88,1755.51,1570.95,1111.75,-0.04136
2013-04-24,1861.04,1749.68,1560.0,1091.83,-0.048332
2013-05-01,1918.85,1787.74,1598.43,1131.94,-0.033962
2013-05-08,1903.54,1790.26,1608.01,1130.81,-0.008781
2013-05-15,1913.54,1806.89,1615.12,1139.38,0.029268
2013-05-22,1889.05,1766.6,1573.94,1103.18,0.00967
2013-05-29,1943.88,1815.66,1612.85,1137.72,0.015617
2013-06-05,1938.59,1830.84,1624.15,1149.34,0.022667
2013-06-12,1950.84,1842.24,1640.69,1156.24,0.019564
2013-06-19,1916.2,1806.42,1608.99,1127.86,0.02254
2013-06-26,1942.35,1819.68,1611.23,1137.66,0.002214
2013-07-03,1972.85,1857.91,1658.36,1180.0,0.014786
2013-07-10,1994.78,1878.97,1670.32,1191.38,0.019938
2013-07-17,1977.65,1875.48,1654.65,1186.66,0.03823
2013-07-24,1934.54,1805.25,1611.46,1147.58,-0.00793
2013-07-31,1892.84,1808.91,1642.94,1194.8,-0.026374
2013-08-07,1912.06,1809.52,1644.79,1194.3,-0.036962
2013-08-14,1931.71,1828.7,1653.38,1207.91,-0.024943
2013-08-21,1907.91,1783.51,1600.04,1171.19,-0.012043
2013-08-28,1976.39,1836.2,1650.25,1208.89,0.015086
2013-09-04,1983.92,1853.32,1670.81,1218.21,0.024205
2013-09-11,1954.0,1821.82,1641.09,1189.65,-0.003762
2013-09-18,1911.34,1784.07,1598.74,1145.13,0.000314
2013-09-25,1893.4,1752.98,1567.47,1122.66,-0.045322
2013-10-02,1906.37,1781.86,1624.52,1158.22,-0.038558
2013-10-09,1931.77,1793.36,1644.8,1171.83,-0.015622
2013-10-16,1910.28,1780.53,1623.94,1156.39,-0.001984
2013-10-23,1848.96,1705.36,1547.63,1093.17,-0.027165
2013-10-30,1890.1,1746.5,1606.28,1151.51,-0.019844
2013-11-06,1877.44,1750.8,1610.05,1139.46,-0.023732
2013-11-13,1911.55,1772.11,1613.8,1147.33,-0.004729
2013-11-20,1881.08,1740.34,1579.11,1112.83,0.020512
2013-11-27,1915.93,1768.9,1622.93,1151.51,0.012826
2013-12-04,1932.37,1794.8,1652.94,1178.5,0.025131
2013-12-11,1934.04,1798.3,1639.57,1174.46,0.014779
2013-12-18,1884.47,1759.14,1600.25,1142.38,0.010802
2013-12-25,1913.04,1747.19,1574.39,1119.71,-0.012273
2014-01-01,1926.51,1785.84,1612.82,1157.72,-0.004992
2014-01-08,1918.75,1783.06,1608.55,1138.79,-0.008475
2014-01-15,1920.17,1780.52,1598.99,1130.47,0.012154
2014-01-22,1886.37,1734.41,1549.66,1087.85,-0.007315
2014-01-29,1944.72,1778.65,1602.32,1140.3,-0.004026
2014-02-05,1928.54,1787.02,1613.76,1144.85,0.002221
2014-02-12,1947.02,1800.95,1614.78,1141.7,0.011474
2014-02-19,1912.91,1769.1,1580.26,1110.68,0.020001
2014-02-26,1910.5,1793.19,1606.83,1141.56,0.008175
2014-03-05,1935.63,1802.01,1610.58,1140.23,0.008388
2014-03-12,1932.67,1796.08,1597.78,1118.41,-0.002704
2014-03-19,1900.97,1773.02,1569.15,1093.91,0.002216
2014-03-26,1915.89,1735.86,1554.15,1063.24,-0.031971
2014-04-02,1907.62,1774.52,1581.17,1101.62,-0.015255
2014-04-09,1925.67,1777.34,1580.57,1098.44,-0.010434
2014-04-16,1908.57,1771.94,1564.73,1087.11,-0.000609
2014-04-23,1908.84,1759.76,1550.38,1071.24,0.013768
2014-04-30,1911.32,1768.38,1568.64,1095.24,-0.00346
2014-05-07,1906.28,1761.56,1563.77,1081.73,-0.008878
2014-05-14,1909.46,1766.42,1560.24,1079.32,-0.003115
2014-05-21,1881.9,1735.73,1529.29,1038.65,-0.013655
2014-05-28,1917.54,1768.94,1551.34,1056.79,0.000317
2014-06-04,1903.01,1760.03,1542.6,1058.77,-0.000869
2014-06-11,1890.8,1756.33,1535.82,1053.78,-0.005712
2014-06-18,1884.3,1750.9,1536.16,1059.91,0.00874
