날짜,고급휘발유,보통휘발유,자동차용경유,실내등유,보휘-30
2010-01-01,1848.43,1641.12,1433.12,1020.11,
2010-01-02,1853.39,1641.03,1433.11,1021.32,
2010-01-03,1850.71,1641.28,1432.97,1020.85,
2010-01-04,1866.87,1644.89,1435.79,1026.02,
2010-01-05,1866.39,1647.25,1438.2,1028.59,
2010-01-06,1867.79,1649.43,1440.07,1030.25,
2010-01-07,1867.56,1651.81,1442.09,1031.89,
2010-01-08,1867.8,1654.95,1444.78,1035.86,
2010-01-09,1869.38,1656.53,1446.25,1036.98,
2010-01-10,1870.38,1658.43,1447.84,1039.61,
2010-01-11,1871.72,1661.09,1450.87,1043.66,
2010-01-12,1874.46,1664.77,1454.62,1047.79,
2010-01-13,1876.18,1666.68,1456.13,1049.21,
2010-01-14,1876.35,1668.68,1457.96,1050.56,
2010-01-15,1873.46,1669.92,1459.24,1051.77,
2010-01-16,1875.12,1670.71,1459.87,1051.03,
2010-01-17,1876.62,1671.13,1460.04,1050.98,
2010-01-18,1874.28,1670.62,1458.39,1048.75,
2010-01-19,1873.35,1670.85,1458.41,1049.41,
2010-01-20,1873.51,1670.36,1457.59,1048.48,
2010-01-21,1875.28,1670.69,1457.69,1049.07,
2010-01-22,1871.5,1670.49,1457.49,1047.21,
2010-01-23,1870.72,1670.68,1457.56,1046.72,
2010-01-24,1872.59,1670.31,1456.85,1047.33,
2010-01-25,1869.89,1668.29,1453.8,1044.71,
2010-01-26,1867.8,1667.67,1452.9,1043.83,
2010-01-27,1866.18,1666.48,1451.3,1041.13,
2010-01-28,1864.49,1665.98,1450.71,1041.43,
2010-01-29,1864.67,1665.33,1449.79,1039.39,
2010-01-30,1863.12,1664.97,1449.17,1037.73,
2010-01-31,1865.49,1663.69,1447.29,1038.31,0.013753
2010-02-01,1864.94,1662.76,1444.85,1036.57,0.013242
2010-02-02,1866.51,1662.63,1444.15,1036.23,0.013008
2010-02-03,1867.0,1662.11,1443.24,1035.2,0.010469
2010-02-04,1863.28,1662.51,1443.08,1034.47,0.009264
2010-02-05,1860.93,1662.73,1442.83,1035.0,0.008063
2010-02-06,1867.22,1663.08,1442.76,1034.43,0.006823
2010-02-07,1864.42,1662.46,1442.17,1034.34,0.004538
2010-02-08,1869.76,1662.98,1442.14,1033.22,0.003894
2010-02-09,1872.52,1663.26,1442.27,1032.92,0.002912
2010-02-10,1871.3,1663.45,1442.12,1032.61,0.001421
2010-02-11,1868.23,1663.86,1442.33,1030.83,-0.000547
2010-02-12,1867.71,1664.19,1442.41,1026.95,-0.001494
2010-02-13,1865.66,1664.66,1442.9,1029.12,-0.002409
2010-02-14,1869.35,1664.25,1442.33,1029.62,-0.003395
2010-02-15,1869.81,1663.73,1441.36,1032.19,-0.004178
2010-02-16,1863.72,1662.82,1441.51,1033.18,-0.004973
2010-02-17,1863.62,1661.81,1440.59,1032.19,-0.005273
2010-02-18,1861.97,1662.05,1440.9,1031.84,-0.005267
2010-02-19,1860.7,1662.17,1440.92,1030.24,-0.004903
2010-02-20,1860.62,1662.26,1441.0,1030.59,-0.005046
2010-02-21,1863.12,1662.26,1440.88,1029.84,-0.004927
2010-02-22,1871.9,1664.24,1442.45,1029.93,-0.003855
2010-02-23,1872.39,1665.32,1443.68,1030.06,-0.002987
2010-02-24,1872.27,1665.58,1443.84,1028.99,-0.001624
2010-02-25,1872.28,1666.58,1445.17,1027.17,-0.000654
2010-02-26,1869.59,1667.11,1445.58,1028.3,0.000378
2010-02-27,1870.85,1667.7,1446.28,1027.5,0.001032
2010-02-28,1871.1,1668.22,1446.61,1030.56,0.001735
2010-03-01,1879.23,1669.96,1448.29,1034.31,0.002997
2010-03-02,1881.19,1671.91,1450.28,1035.67,0.004941
2010-03-03,1888.59,1674.07,1452.04,1036.8,0.006802
2010-03-04,1884.19,1675.76,1454.54,1035.82,0.007897
2010-03-05,1885.1,1677.25,1456.08,1035.55,0.009109
2010-03-06,1882.74,1678.23,1457.19,1035.58,0.009456
2010-03-07,1883.7,1679.13,1457.83,1038.13,0.009863
2010-03-08,1890.43,1680.77,1459.04,1039.07,0.010637
2010-03-09,1891.88,1682.54,1460.79,1040.65,0.012078
2010-03-10,1890.49,1683.33,1461.55,1039.37,0.012237
2010-03-11,1888.26,1685.31,1463.82,1040.38,0.013257
2010-03-12,1891.22,1687.7,1466.05,1041.58,0.014578
2010-03-13,1889.75,1688.62,1467.2,1039.23,0.014881
2010-03-14,1891.61,1689.96,1468.32,1041.63,0.015485
2010-03-15,1899.59,1693.25,1471.27,1043.88,0.017175
2010-03-16,1899.87,1695.99,1474.02,1045.57,0.019072
2010-03-17,1898.66,1697.2,1474.97,1045.44,0.020117
2010-03-18,1899.33,1698.95,1476.91,1045.05,0.021728
2010-03-19,1901.32,1700.25,1478.05,1044.66,0.023131
2010-03-20,1901.47,1701.15,1478.84,1043.91,0.023525
2010-03-21,1903.47,1701.8,1479.42,1047.12,0.023842
2010-03-22,1903.59,1702.46,1479.93,1046.87,0.024184
2010-03-23,1904.72,1703.77,1481.19,1046.02,0.024972
2010-03-24,1903.28,1704.13,1481.31,1046.69,0.023969
2010-03-25,1902.85,1704.94,1482.19,1047.49,0.023791
2010-03-26,1904.12,1705.85,1482.89,1046.68,0.024178
2010-03-27,1907.64,1706.32,1483.34,1045.31,0.023845
2010-03-28,1906.97,1706.4,1483.22,1046.23,0.023568
2010-03-29,1907.67,1706.08,1482.96,1045.37,0.023014
2010-03-30,1907.06,1706.59,1483.25,1047.78,0.023001
2010-03-31,1906.15,1706.15,1482.78,1046.8,0.021671
2010-04-01,1903.96,1707.18,1483.97,1045.33,0.021096
2010-04-02,1903.31,1707.49,1484.29,1046.19,0.019963
2010-04-03,1906.85,1707.91,1484.61,1043.73,0.019185
2010-04-04,1906.58,1708.04,1484.72,1044.06,0.018357
2010-04-05,1910.41,1709.68,1486.39,1046.38,0.01874
2010-04-06,1913.52,1711.15,1488.02,1047.04,0.019069
2010-04-07,1913.22,1711.95,1488.9,1047.67,0.018551
2010-04-08,1914.41,1714.05,1491.52,1048.63,0.018728
2010-04-09,1912.44,1715.69,1493.47,1049.22,0.019224
2010-04-10,1915.0,1716.84,1494.84,1048.6,0.018709
2010-04-11,1917.24,1718.13,1496.39,1051.05,0.01803
2010-04-12,1924.1,1722.45,1503.55,1061.89,0.020034
2010-04-13,1927.14,1726.16,1509.05,1067.71,0.021421
2010-04-14,1950.45,1728.67,1512.54,1065.97,0.020918
2010-04-15,1928.13,1730.97,1515.93,1067.98,0.020625
2010-04-16,1927.75,1732.74,1518.36,1070.48,0.02094
2010-04-17,1930.2,1733.63,1519.57,1069.11,0.020413
2010-04-18,1930.85,1734.41,1520.38,1069.73,0.020091
2010-04-19,1929.39,1734.48,1521.05,1069.91,0.019593
2010-04-20,1928.82,1735.38,1522.27,1070.59,0.019732
2010-04-21,1928.58,1735.43,1522.65,1075.9,0.019366
2010-04-22,1925.43,1736.05,1523.48,1073.88,0.018946
2010-04-23,1925.55,1736.38,1523.91,1073.64,0.018925
2010-04-24,1927.92,1736.75,1524.38,1073.56,0.018658
2010-04-25,1931.24,1736.68,1524.27,1074.1,0.018073
2010-04-26,1925.8,1735.85,1523.34,1078.93,0.017306
2010-04-27,1927.49,1735.69,1523.35,1079.9,0.017165
2010-04-28,1924.72,1735.53,1523.18,1076.98,0.017262
2010-04-29,1926.06,1735.53,1523.39,1075.82,0.016958
2010-04-30,1926.06,1735.98,1523.88,1075.78,0.017484
2010-05-01,1926.05,1736.08,1523.9,1073.3,0.016929
2010-05-02,1928.7,1736.01,1523.91,1073.01,0.016703
2010-05-03,1929.36,1737.28,1525.42,1074.58,0.017196
2010-05-04,1929.46,1738.02,1526.3,1075.03,0.017552
