기간,고급휘발유,보통휘발유,자동차용경유,선박용경유,실내등유,보일러등유,벙커C
2010년01월,1799.80,1594.62,1348.97,1302.73,890.80,887.54,732.16
2010년02월,1794.31,1602.06,1342.53,1320.59,859.03,859.96,810.70
2010년03월,1822.94,1633.58,1381.57,1341.29,899.14,892.08,736.59
2010년04월,1848.74,1653.69,1423.89,1312.87,936.46,941.97,766.45
2010년05월,1826.06,1622.90,1402.94,1367.85,919.48,914.51,773.13
2010년06월,1834.94,1643.97,1422.54,1380.15,947.43,941.99,768.43
2010년07월,1830.45,1644.81,1405.99,1368.57,922.31,916.07,753.56
2010년08월,1812.04,1612.40,1398.91,1386.42,910.66,908.46,758.40
2010년09월,1735.06,1604.20,1397.09,1369.24,916.26,919.69,767.19
2010년10월,1807.11,1618.90,1410.88,1385.83,940.30,941.86,747.39
2010년11월,1829.85,1646.43,1436.80,1408.31,973.15,972.92,748.08
2010년12월,1901.81,1714.06,1496.57,1425.17,1034.54,1030.80,767.57
2011년01월,1887.61,1764.38,1547.85,1475.73,1080.85,1080.24,807.47
2011년02월,1955.96,1772.17,1584.38,1530.39,1109.57,1110.07,830.36
2011년03월,2063.75,1862.85,1675.15,1574.78,1185.73,1213.80,904.18
2011년04월,1976.73,1855.92,1709.18,1715.38,1258.32,1246.31,987.85
2011년05월,2092.18,1865.77,1656.92,1659.10,1215.95,1288.49,1026.61
2011년06월,2100.15,1853.70,1663.21,1642.80,1211.01,1290.59,984.26
2011년07월,2063.05,1847.05,1653.71,1597.73,1193.63,-,1000.21
2011년08월,2051.38,1836.51,1616.62,1607.21,1158.28,-,999.01
2011년09월,2099.74,1882.21,1645.49,1593.31,1175.83,-,997.97
2011년10월,2124.42,1907.17,1670.37,1640.91,1211.52,-,1011.63
2011년11월,1971.91,1839.76,1670.25,1668.93,1223.04,-,1067.03
2011년12월,1968.97,1820.71,1670.62,1662.31,1196.27,-,1089.54
2012년01월,2022.17,1886.74,1720.23,1663.16,1224.78,-,1084.07
2012년02월,2061.34,1928.04,1733.19,1673.61,1243.63,-,1139.41
2012년03월,2090.59,1980.97,1760.83,1697.19,1274.54,-,1147.60
2012년04월,2120.15,1973.02,1745.03,1718.39,1271.60,-,1170.15
2012년05월,2046.75,1905.33,1695.42,1702.83,1221.69,-,1169.67
2012년06월,1974.84,1812.04,1629.52,1629.55,1150.39,-,1125.23
2012년07월,1940.05,1813.49,1641.93,1571.89,1159.49,-,1043.09
2012년08월,2129.96,1920.83,1714.76,1637.88,1240.86,-,1021.69
2012년09월,2135.33,1909.89,1731.75,1702.42,1261.66,-,1059.95
2012년10월,2109.10,1868.46,1680.77,1697.83,1225.93,-,1080.98
2012년11월,2071.96,1830.74,1649.46,1644.39,1179.71,-,1014.80
2012년12월,2021.22,1821.10,1644.53,1630.86,1166.70,-,945.68
2013년01월,2031.89,1833.81,1642.07,1598.41,1185.63,-,923.98
2013년02월,2057.58,1897.20,1692.08,1651.51,1236.44,-,934.18
2013년03월,2082.47,1863.41,1625.56,1668.45,1194.93,-,997.05
2013년04월,2070.43,1804.38,1594.31,1636.70,1138.72,-,994.48
2013년05월,2046.94,1807.35,1592.25,1594.55,1124.78,-,976.14
2013년06월,2074.78,1835.63,1607.65,1603.09,1132.64,-,949.41
2013년07월,2113.73,1866.97,1635.84,1632.02,1161.82,-,976.02
2013년08월,2051.51,1831.90,1622.20,1652.24,1173.10,-,950.30
2013년09월,2075.25,1812.57,1608.72,1633.51,1155.37,-,959.18
2013년10월,2059.54,1775.05,1593.94,1622.44,1139.07,-,951.36
2013년11월,2050.15,1734.68,1567.21,1599.59,1130.11,-,929.55
2013년12월,2072.67,1786.45,1611.49,1585.01,1149.58,-,912.08
