구분,고급휘발유,보통휘발유,자동차용경유,실내등유,보일러등유
10년01월1주,1701.33,1584.14,1360.57,906.21,904.83
10년01월2주,1712.71,1597.16,1373.69,917.94,910.17
10년01월3주,1703.21,1583.76,1352.68,889.68,883.62
10년01월4주,1667.09,1556.60,1317.67,859.49,852.05
10년02월1주,1690.77,1570.51,1321.05,863.52,857.56
10년02월2주,1690.33,1579.44,1327.14,862.33,857.21
10년02월3주,1679.33,1568.40,1328.53,854.38,845.49
10년02월4주,1683.33,1574.61,1334.09,858.88,854.14
10년03월1주,1707.52,1599.75,1362.11,890.95,885.56
10년03월2주,1725.14,1612.36,1375.26,898.51,892.06
10년03월3주,1734.82,1620.30,1385.63,906.35,897.86
10년03월4주,1722.69,1616.00,1378.00,902.66,897.19
10년03월5주,1712.43,1604.81,1362.46,890.74,882.32
10년04월1주,1741.92,1637.76,1406.90,933.45,927.22
10년04월2주,1749.20,1643.46,1423.42,952.97,944.88
10년04월3주,1738.81,1633.59,1420.85,950.24,939.26
10년04월4주,1729.67,1615.59,1401.80,932.88,924.11
10년05월1주,1743.70,1644.65,1435.37,965.55,957.47
10년05월2주,1745.18,1633.35,1436.79,964.54,953.39
10년05월3주,1707.81,1602.87,1410.00,935.26,927.19
10년05월4주,1665.20,1564.64,1366.65,894.06,887.66
10년06월1주,1675.58,1568.35,1368.17,900.14,893.00
10년06월2주,1700.01,1598.92,1399.44,937.71,926.84
10년06월3주,1714.42,1612.85,1414.59,948.90,938.70
10년06월4주,1727.69,1621.28,1417.99,950.64,941.52
10년06월5주,1711.72,1615.57,1410.13,944.08,935.41
10년07월1주,1716.28,1618.16,1424.84,955.24,947.68
10년07월2주,1685.12,1589.63,1387.97,915.16,907.47
10년07월3주,1687.61,1589.89,1383.59,911.56,902.41
10년07월4주,1686.76,1584.29,1374.34,908.35,902.74
10년08월1주,1698.69,1604.92,1411.00,943.53,928.07
10년08월2주,1705.37,1608.32,1420.32,953.48,941.28
